Start date,Start time,End date,End time,Start location,Start coordinates,End location,End coordinates,Duration (HH:MM),Distance(km),Efficiency(L/100km),Average speed(km/h),PHEV Fuel efficiency(L/100km),EV Distance(km)
"03/03/2023","08:16","03/03/2023","08:32","Riverend Rd 65,3175 Melbourne,Australia","-38.05025388888889,145.1488013888889","Boundary Ln 2,3201 Melbourne,Australia","-38.08299777777778,145.17786388888888","00:16","10.7","4.5","45.0","4.5","5.7"
"03/03/2023","07:53","03/03/2023","08:16","Pebble Ave 20,3975 Melbourne,Australia","-38.07708083333333,145.255635","Riverend Rd 65,3175 Melbourne,Australia","-38.05025388888889,145.1488013888889","00:23","16.4","1.9","47.0","1.9","14.1"
"02/03/2023","15:28","02/03/2023","15:50","Riverend Rd 65,3175 Melbourne,Australia","-38.0502275,145.14841277777776","Pebble Ave 21,3975 Melbourne,Australia","-38.07720583333333,145.2553475","00:22","13.8","3.4","42.0","3.4","10.3"
"02/03/2023","14:53","02/03/2023","15:14","Pebble Ave 21,3975 Melbourne,Australia","-38.07719361111111,145.25548361111112","Riverend Rd 65,3175 Melbourne,Australia","-38.05022,145.14838833333334","00:21","14.3","2.6","45.0","2.6","10.8"
"24/02/2023","19:57","24/02/2023","20:18","Chifley Dr 10,3194 Melbourne,Australia","-37.9773075,145.1080736111111","Pebble Ave 19,3975 Melbourne,Australia","-38.07717972222222,145.2553538888889","00:21","22.1","10.4","65.0","10.4","1.8"
"24/02/2023","19:32","24/02/2023","19:50","Fairchild St 14,3202 Melbourne,Australia","-37.943869166666666,145.08228083333333","Chifley Dr 10,3194 Melbourne,Australia","-37.97731638888889,145.10806861111112","00:18","8.0","10.1","29.0","10.1","1.5"
"24/02/2023","16:44","24/02/2023","17:15","Pebble Ave 19,3975 Melbourne,Australia","-38.077177222222225,145.2553775","Fairchild St 14,3202 Melbourne,Australia","-37.94388527777778,145.08226527777776","00:31","28.1","5.8","58.0","5.8","10.2"
"24/02/2023","15:28","24/02/2023","15:50","Riverend Rd 65,3175 Melbourne,Australia","-38.05023416666667,145.1485727777778","Pebble Ave 19,3975 Melbourne,Australia","-38.07718416666667,145.25535083333332","00:22","13.8","2.0","41.0","2.0","10.9"
"24/02/2023","14:49","24/02/2023","15:08","Pebble Ave 20,3975 Melbourne,Australia","-38.07718694444444,145.2555763888889","Riverend Rd 65,3175 Melbourne,Australia","-38.0502375,145.14856972222222","00:19","14.3","2.5","48.0","2.5","10.7"
"23/02/2023","15:29","23/02/2023","15:51","Riverend Rd 65,3175 Melbourne,Australia","-38.05024138888889,145.14866916666668","Pebble Ave 21,3975 Melbourne,Australia","-38.07722944444444,145.25540222222222","00:22","13.7","2.2","41.0","2.2","11.1"
"23/02/2023","14:46","23/02/2023","15:07","Pebble Ave 19,3975 Melbourne,Australia","-38.07715527777778,145.25536861111112","Riverend Rd 65,3175 Melbourne,Australia","-38.050244722222224,145.14867944444444","00:21","14.3","4.4","45.0","4.4","8.7"
"23/02/2023","08:18","23/02/2023","08:34","Riverend Rd 65,3175 Melbourne,Australia","-38.050267777777776,145.1490513888889","Pebble Ave 21,3975 Melbourne,Australia","-38.07718916666666,145.2553513888889","00:16","13.6","2.9","55.0","2.9","9.6"
"23/02/2023","07:52","23/02/2023","08:16","Pebble Ave 21,3975 Melbourne,Australia","-38.07722444444445,145.25541333333334","Riverend Rd 65,3175 Melbourne,Australia","-38.05025916666666,145.14905611111112","00:24","16.5","0.6","42.0","0.6","15.3"
"21/02/2023","18:40","21/02/2023","18:52","Wedge Rd 45,3201 Melbourne,Australia","-38.0861825,145.18798222222222","Pebble Ave 19,3975 Melbourne,Australia","-38.07718416666667,145.25535277777777","00:12","8.1","3.3","28.0","3.3","6.1"
"21/02/2023","17:16","21/02/2023","17:37","Pebble Ave 19,3975 Melbourne,Australia","-38.077175555555556,145.2553927777778","Wedge Rd 45,3201 Melbourne,Australia","-38.08621472222222,145.18799361111112","00:21","7.6","3.7","24.0","3.7","5.6"
"21/02/2023","11:58","21/02/2023","12:07","Pebble Ave 19,3975 Melbourne,Australia","-38.077085833333335,145.2554636111111","Pebble Ave 19,3975 Melbourne,Australia","-38.0771925,145.25536861111112","00:09","1.7","0.0","13.0","0.0","1.7"
"19/02/2023","17:38","19/02/2023","17:43","Remount Way 34,3977 Melbourne,Australia","-38.079237222222226,145.2460675","Pebble Ave 19,3975 Melbourne,Australia","-38.077172222222224,145.25538527777778","00:05","2.0","0.0","26.0","0.0","2.0"
"19/02/2023","17:17","19/02/2023","17:21","Pebble Ave 21,3975 Melbourne,Australia","-38.07720694444444,145.25536222222223","Remount Way 34,3977 Melbourne,Australia","-38.079233055555555,145.2460436111111","00:04","1.9","10.3","29.0","10.3","0.4"
